"Path","Name","Length","Sha256","SignatureStatus","Signer","Issuer"
"C:\yjc_code\K40_Win11\Alioth-Engineering\experiments\audio-adsp-phase1b\signed-driver-package\CombinedSubsystem\qcsubsys8250.cat","qcsubsys8250.cat","10981","D2744FFA19275C29B32B23512F2B9711EFE73ED5B59AD2316E62E9C903074498","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\Alioth-Engineering\experiments\audio-adsp-phase1b\signed-driver-package\CombinedSubsystem\qcsubsys8250.inf","qcsubsys8250.inf","51630","7E49436478665D64F6AFD7E5C8CD367658D7923AB5C630290B2B994166DA4A14","","",""
"C:\yjc_code\K40_Win11\Alioth-Engineering\experiments\audio-adsp-phase1b\signed-driver-package\CombinedSubsystem\qcsubsys8250.sys","qcsubsys8250.sys","738912","E33AB8E622C50347184A9D5717F93576F012C549D922A5062E11D620C6A997E1","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Drivers\Subsystems\CombinedSubsystem\qcsubsys8250.cat","qcsubsys8250.cat","10981","D2744FFA19275C29B32B23512F2B9711EFE73ED5B59AD2316E62E9C903074498","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Drivers\Subsystems\CombinedSubsystem\qcsubsys8250.inf","qcsubsys8250.inf","51630","7E49436478665D64F6AFD7E5C8CD367658D7923AB5C630290B2B994166DA4A14","","",""
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Drivers\Subsystems\CombinedSubsystem\qcsubsys8250.sys","qcsubsys8250.sys","738912","E33AB8E622C50347184A9D5717F93576F012C549D922A5062E11D620C6A997E1","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Audio\qcsubsys_ext_adsp8250.cat","qcsubsys_ext_adsp8250.cat","34166","6939D0F87EFE5DC2387B6AF8539A36AED26FAA15DBB5E5385EBC2B865ECEDF26","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Audio\qcsubsys_ext_adsp8250.inf","qcsubsys_ext_adsp8250.inf","57880","596D7C419A94BED6F2B12816F18D5410CDC84A26A27682F2924D62FEE8B4E974","","",""
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Compute\qcsubsys_ext_cdsp8250.cat","qcsubsys_ext_cdsp8250.cat","27671","C1BFDCC0B3183D1ADA30812E7E053FF6EA14D22190F7F44981F2CA52A5A517EB","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Compute\qcsubsys_ext_cdsp8250.inf","qcsubsys_ext_cdsp8250.inf","41200","CC737C084E2F1866B01ED922B3B1BE686FA4F3F217534786DA9C4CEADC1F3B97","","",""
"C:\yjc_code\K40_Win11\sound_code\windows_silicon_qcom_kona\Extensions\Subsystems\Modem\qcsubsys_ext_mpss8250.cat","qcsubsys_ext_mpss8250.cat","17752","E9889FCAA0B1DF6DB0B64741086150560CB877C3BF14F411BDDBC8EE0CA98111","UnknownError","CN=Windows On Andromeda KMCI Codesigning, E=gustave.monce@outlook.com","CN=Windows On Andromeda Production PCA 2023"
