"Name","PNPClass","Manufacturer","ConfigManagerErrorCode","PNPDeviceID","HardwareIDs"
"","","","28","ACPI\QCOM0550\0","ACPI\VEN_QCOM&DEV_0550; ACPI\QCOM0550; *QCOM0550"
"","","","28","ACPI\QCOM05A8\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05A8&SUBSYS_MTP08250; ACPI\QCOM05A8; *QCOM05A8"
"","","","28","ACPI\QCOM0535\1B","ACPI\VEN_QCOM&DEV_0535&SUBSYS_MTP08250; ACPI\QCOM0535; *QCOM0535"
"","","","28","ACPI\QCOM055A\0","ACPI\VEN_QCOM&DEV_055A&SUBSYS_MTP08250; ACPI\QCOM055A; *QCOM055A"
"","","","28","ACPI\QCOM055C\0","ACPI\VEN_QCOM&DEV_055C; ACPI\QCOM055C; *QCOM055C"
"","","","28","ACPI\QCOM055C\1","ACPI\VEN_QCOM&DEV_055C; ACPI\QCOM055C; *QCOM055C"
"","","","28","ACPI\QCOM055D\0","ACPI\VEN_QCOM&DEV_055D; ACPI\QCOM055D; *QCOM055D"
"","","","28","ACPI\QCOM055D\1","ACPI\VEN_QCOM&DEV_055D; ACPI\QCOM055D; *QCOM055D"
"","","","28","ACPI\QCOM055F\1","ACPI\VEN_QCOM&DEV_055F; ACPI\QCOM055F; *QCOM055F"
"","","","28","ACPI\QCOM0518\12","ACPI\VEN_QCOM&DEV_0518&SUBSYS_MTP08250; ACPI\QCOM0518; *QCOM0518"
"","","","28","ACPI\QCOM0518\14","ACPI\VEN_QCOM&DEV_0518&SUBSYS_MTP08250; ACPI\QCOM0518; *QCOM0518"
"","","","28","ACPI\FSA04480\2&DABA3FF&0","ACPI\VEN_FSA0&DEV_4480&SUBSYS_MTP08250; ACPI\FSA04480; *FSA04480"
"","","","28","ACPI\QCOM05CF\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05CF&SUBSYS_MTP08250; ACPI\QCOM05CF; *QCOM05CF"
"","","","28","ACPI\QCOM050A\1","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050A\5","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050A\6","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050A\7","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050A\D","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050A\E","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050A\F","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM050B\0","ACPI\VEN_QCOM&DEV_050B&SUBSYS_MTP08250; ACPI\QCOM050B; *QCOM050B"
"HID Button over Interrupt Driver","HIDClass","Microsoft","51","ACPI\ACPI0011\0","ACPI\VEN_ACPI&DEV_0011&SUBSYS_MTP08250; ACPI\ACPI0011; *ACPI0011"
"","","","28","ACPI\QCOM0582\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0582&SUBSYS_MTP08250; ACPI\QCOM0582; *QCOM0582"
"","","","28","ACPI\QCOM05AA\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05AA&SUBSYS_MTP08250; ACPI\QCOM05AA; *QCOM05AA"
"","","","28","ACPI\QCOM056D\0","ACPI\VEN_QCOM&DEV_056D&SUBSYS_MTP08250; ACPI\QCOM056D; *QCOM056D"
"","","","28","ACPI\QCOM05AE\0","ACPI\VEN_QCOM&DEV_05AE; ACPI\QCOM05AE; *QCOM05AE"
"","","","28","ACPI\QCOM05A7\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05A7&SUBSYS_MTP08250; ACPI\QCOM05A7; *QCOM05A7"
"","","","28","ACPI\QCOM0511\5","ACPI\VEN_QCOM&DEV_0511&SUBSYS_MTP08250; ACPI\QCOM0511; *QCOM0511"
"","","","28","ACPI\QCOM0511\8","ACPI\VEN_QCOM&DEV_0511&SUBSYS_MTP08250; ACPI\QCOM0511; *QCOM0511"
"","","","28","ACPI\QCOM0511\A","ACPI\VEN_QCOM&DEV_0511&SUBSYS_MTP08250; ACPI\QCOM0511; *QCOM0511"
"","","","28","ACPI\QCOM0512\0","ACPI\VEN_QCOM&DEV_0512&SUBSYS_MTP08250; ACPI\QCOM0512; *QCOM0512"
"","","","28","ACPI\QCOM0512\1","ACPI\VEN_QCOM&DEV_0512&SUBSYS_MTP08250; ACPI\QCOM0512; *QCOM0512"
"","","","28","ACPI\QCOM0512\2","ACPI\VEN_QCOM&DEV_0512&SUBSYS_MTP08250; ACPI\QCOM0512; *QCOM0512"
"","","","28","ACPI\QCOM0518\D","ACPI\VEN_QCOM&DEV_0518&SUBSYS_MTP08250; ACPI\QCOM0518; *QCOM0518"
"","","","28","ACPI\QCOM0518\E","ACPI\VEN_QCOM&DEV_0518&SUBSYS_MTP08250; ACPI\QCOM0518; *QCOM0518"
"","","","28","ACPI\QCOM05CE\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05CE&SUBSYS_MTP08250; ACPI\QCOM05CE; *QCOM05CE"
"","","","28","ACPI\VEN_QCOM&DEV_0509&SUBSYS_MTP08250&REV_0002\1","ACPI\VEN_QCOM&DEV_0509&SUBSYS_MTP08250&REV_0002; ACPI\VEN_QCOM&DEV_0509&SUBSYS_MTP08250; ACPI\QCOM0509; *QCOM0509"
"","","","28","ACPI\QCOM0576\0","ACPI\VEN_QCOM&DEV_0576&SUBSYS_MTP08250; ACPI\QCOM0576; *QCOM0576"
"","","","28","ACPI\QCOM050A\10","ACPI\VEN_QCOM&DEV_050A&SUBSYS_MTP08250; ACPI\QCOM050A; *QCOM050A"
"","","","28","ACPI\QCOM0508\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0508&SUBSYS_MTP08250; ACPI\QCOM0508; *QCOM0508"
"","","","28","ACPI\QCOM05A1\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_05A1&SUBSYS_MTP08250; ACPI\QCOM05A1; *QCOM05A1"
"","","","28","ACPI\QCOM055E\64","ACPI\VEN_QCOM&DEV_055E; ACPI\QCOM055E; *QCOM055E"
"","","","28","ACPI\QCOM0527\0","ACPI\VEN_QCOM&DEV_0527&SUBSYS_MTP08250; ACPI\QCOM0527; *QCOM0527"
"","","","28","ACPI\QCOM0561\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0561&SUBSYS_MTP08250; ACPI\QCOM0561; *QCOM0561"
"","","","28","ACPI\QCOM0581\0","ACPI\VEN_QCOM&DEV_0581&SUBSYS_MTP08250; ACPI\QCOM0581; *QCOM0581"
"","","","28","ACPI\QCOM0583\0","ACPI\VEN_QCOM&DEV_0583&SUBSYS_MTP08250; ACPI\QCOM0583; *QCOM0583"
"","","","28","ACPI\QCOM0507\2&DABA3FF&0","ACPI\VEN_QCOM&DEV_0507&SUBSYS_MTP08250; ACPI\QCOM0507; *QCOM0507"
"","","","28","ACPI\QCOM0530\1","ACPI\VEN_QCOM&DEV_0530&SUBSYS_MTP08250; ACPI\QCOM0530; *QCOM0530"
"","","","28","ACPI\QCOM05D2\0","ACPI\VEN_QCOM&DEV_05D2; ACPI\QCOM05D2; *QCOM05D2"
"","","","28","ACPI\QCOM0593\0","ACPI\VEN_QCOM&DEV_0593&SUBSYS_MTP08250; ACPI\QCOM0593; *QCOM0593"
"","","","28","ACPI\QCOM0593\1","ACPI\VEN_QCOM&DEV_0593&SUBSYS_MTP08250; ACPI\QCOM0593; *QCOM0593"
