"Name","PNPClass","Manufacturer","ConfigManagerErrorCode","Status","PNPDeviceID","HardwareID","CompatibleID","ClassGuid","Service"
,,,"28","Error","ACPI\QCOM0550\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM05A8\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0535\1B","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM055A\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM055C\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM055C\1","System.String[]",,,
,,,"28","Error","ACPI\QCOM055D\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM055D\1","System.String[]",,,
,,,"28","Error","ACPI\QCOM055F\1","System.String[]",,,
,,,"28","Error","ACPI\QCOM0518\12","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0518\14","System.String[]","System.String[]",,
,,,"28","Error","ACPI\FSA04480\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM05CF\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\1","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\5","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\6","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\7","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\D","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\E","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\F","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050B\0","System.String[]","System.String[]",,
"HID Button over Interrupt Driver","HIDClass","Microsoft","51","Error","ACPI\ACPI0011\0","System.String[]","System.String[]","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}","hidinterrupt"
,,,"28","Error","ACPI\QCOM0582\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM05AA\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM056D\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM05AE\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM05A7\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0511\5","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0511\8","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0511\A","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0512\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0512\1","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0512\2","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0518\D","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0518\E","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM05CE\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\VEN_QCOM&DEV_0509&SUBSYS_MTP08250&REV_0002\1","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0576\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM050A\10","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0508\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM05A1\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM055E\64","System.String[]",,,
,,,"28","Error","ACPI\QCOM0527\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0561\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0581\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0583\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0507\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0530\1","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM05D2\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM0593\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0593\1","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM0593\2","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM057F\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\SSDE\2&DABA3FF&0","System.String[]",,,
,,,"28","Error","ACPI\QCOM0577\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM059B\0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM059B\1","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM059D\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM0533\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM059E\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM055F\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM054C\0","System.String[]",,,
,,,"28","Error","ACPI\QCOM051B\2&DABA3FF&0","System.String[]","System.String[]",,
,,,"28","Error","ACPI\QCOM054E\0","System.String[]",,,
,,,"28","Error","ACPI\VEN_QCOM&DEV_058C&SUBSYS_MTP08250&REV_0002\2&DABA3FF&0","System.String[]","System.String[]",,
